order_id,customer_name,customer_address,order_date,status,item_name,quantity,total_amount
OR2024-031264,Sophia Navarro,"14 Lacson St., Bacolod City",2024-08-31,Received,Printer Paper A3 500 sheets,2,918.00
OR2024-031267,Sophia Navarro,"14 Lacson St., Bacolod City",2024-01-10,Preparing,Trash Bag Black Large,3,2070.00
OR2024-031267,Sophia Navarro,"14 Lacson St., Bacolod City",2024-01-10,Preparing,Cotton Balls 100pcs,1,2070.00
OR2024-031267,Sophia Navarro,"14 Lacson St., Bacolod City",2024-01-10,Preparing,Compass and Protractor Set,1,2070.00
OR2024-031267,Sophia Navarro,"14 Lacson St., Bacolod City",2024-01-10,Preparing,First Aid Kit Box,2,2070.00
OR2024-031269,Ana Villanueva,"12 Burgos St., Cebu City",2024-07-19,Preparing,Sticky Flags 25mm,3,48.00
OR2024-031269,Ana Villanueva,"12 Burgos St., Cebu City",2024-07-19,Preparing,Sticky Flags 25mm,3,48.00
OR2024-031270,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-03-25,Received,Adhesive Bandages 100pcs,3,670.00
OR2024-031270,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-03-25,Received,Trash Bag Black Large,2,670.00
OR2024-031271,Sophia Navarro,"14 Lacson St., Bacolod City",2024-11-10,Preparing,HP 684 Tri-Color Ink,2,240.00
OR2024-031274,Daniel Cruz,"3 Session Rd., Baguio City",2024-11-05,Received,HP 680 Black Ink Cartridge,2,2790.00
OR2024-031274,Daniel Cruz,"3 Session Rd., Baguio City",2024-11-05,Received,First Aid Kit Box,1,2790.00
OR2024-031274,Daniel Cruz,"3 Session Rd., Baguio City",2024-11-05,Received,Webcam 1080p,2,2790.00
OR2024-031275,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-08-09,Preparing,HP 680 Black Ink Cartridge,1,3520.00
OR2024-031275,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-08-09,Preparing,Webcam 1080p,3,3520.00
OR2024-031275,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-08-09,Preparing,First Aid Kit Box,1,3520.00
OR2024-031276,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-02-18,Received,Whiteboard Sheet Roll,3,3010.00
OR2024-031276,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-02-18,Received,Sticky Flags 75mm,1,3010.00
OR2024-031276,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-02-18,Received,Compass and Protractor Set,3,3010.00
OR2024-031276,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-02-18,Received,Laptop Stand Aluminum,3,3010.00
OR2024-031278,Daniel Cruz,"3 Session Rd., Baguio City",2024-03-12,Preparing,Paper Clips 50pcs,3,765.00
OR2024-031278,Daniel Cruz,"3 Session Rd., Baguio City",2024-03-12,Preparing,Cotton Balls 100pcs,3,765.00
OR2024-031278,Daniel Cruz,"3 Session Rd., Baguio City",2024-03-12,Preparing,Oil Pastels 36pcs,3,765.00
OR2024-031279,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-06-25,Received,Paper Clips 50pcs,2,920.00
OR2024-031279,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-06-25,Received,Laminating Film A4,2,920.00
OR2024-031282,Maria Santos,"45 Mabini Ave., Makati City",2024-08-28,Received,Mousepad Extended,1,1350.00
OR2024-031282,Maria Santos,"45 Mabini Ave., Makati City",2024-08-28,Received,Glue Gun Small,3,1350.00
OR2024-031282,Maria Santos,"45 Mabini Ave., Makati City",2024-08-28,Received,Spiral Coil Bind 10mm,2,1350.00
OR2024-031282,Maria Santos,"45 Mabini Ave., Makati City",2024-08-28,Received,Construction Paper Assorted,2,1350.00
OR2024-031292,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-09-07,Received,Desk Pen Holder,2,280.00
OR2024-031292,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-09-07,Received,Ballpoint Pen Blue 10pcs,1,280.00
OR2024-031293,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-12-27,Received,Laser Toner Cartridge 85A,3,2850.00
OR2024-031297,Ana Villanueva,"12 Burgos St., Cebu City",2024-09-17,Preparing,Cotton Balls 100pcs,3,1115.00
OR2024-031297,Ana Villanueva,"12 Burgos St., Cebu City",2024-09-17,Preparing,Alcohol 70% 1 Liter,1,1115.00
OR2024-031297,Ana Villanueva,"12 Burgos St., Cebu City",2024-09-17,Preparing,Desktop Organizer Wood,2,1115.00
OR2024-031300,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-12-06,Received,Paper Clip Box 500pcs,3,90.00
OR2024-031301,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-09-26,Received,Paper Clip Box 500pcs,3,1185.00
OR2024-031301,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-09-26,Received,Sticky Notes 50x50mm,3,1185.00
OR2024-031301,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-09-26,Received,Mousepad Extended,3,1185.00
OR2024-031301,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-09-26,Received,Compass and Protractor Set,3,1185.00
OR2024-031304,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-09-23,To Ship,Oil Pastels 36pcs,1,235.00
OR2024-031304,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-09-23,To Ship,File Pocket PVC A4,1,235.00
OR2024-031308,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-04-26,Received,Cork Board 2x3ft,2,3530.00
OR2024-031308,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-04-26,Received,Sticky Notes 50x50mm,2,3530.00
OR2024-031308,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-04-26,Received,Floor Lamp LED,2,3530.00
OR2024-031310,Daniel Cruz,"3 Session Rd., Baguio City",2024-08-23,Received,Office Chair Mid-Back,3,7735.00
OR2024-031310,Daniel Cruz,"3 Session Rd., Baguio City",2024-08-23,Received,Thumb Tacks 100pcs,1,7735.00
OR2024-031310,Daniel Cruz,"3 Session Rd., Baguio City",2024-08-23,Received,Ballpoint Pen Blue 10pcs,1,7735.00
OR2024-031310,Daniel Cruz,"3 Session Rd., Baguio City",2024-08-23,Received,Desk Organizer Tray,1,7735.00
OR2024-031311,Sophia Navarro,"14 Lacson St., Bacolod City",2024-12-07,Received,Ballpoint Pen Blue 10pcs,2,3600.00
OR2024-031311,Sophia Navarro,"14 Lacson St., Bacolod City",2024-12-07,Received,Watercolor Set 24pcs,2,3600.00
OR2024-031311,Sophia Navarro,"14 Lacson St., Bacolod City",2024-12-07,Received,Webcam 1080p,3,3600.00
OR2024-031311,Sophia Navarro,"14 Lacson St., Bacolod City",2024-12-07,Received,Construction Paper Assorted,2,3600.00
OR2024-031312,Daniel Cruz,"3 Session Rd., Baguio City",2024-02-28,Received,Compass and Protractor Set,1,1280.00
OR2024-031312,Daniel Cruz,"3 Session Rd., Baguio City",2024-02-28,Received,Power Bank 10000mAh,2,1280.00
OR2024-031312,Daniel Cruz,"3 Session Rd., Baguio City",2024-02-28,Received,Glass Cleaner Spray,1,1280.00
OR2024-031312,Daniel Cruz,"3 Session Rd., Baguio City",2024-02-28,Received,Desk Organizer Tray,1,1280.00
OR2024-031313,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-12-05,Cancelled,Power Bank 10000mAh,2,900.00
OR2024-031314,Sophia Navarro,"14 Lacson St., Bacolod City",2024-01-29,Preparing,Compass and Protractor Set,1,1340.00
OR2024-031314,Sophia Navarro,"14 Lacson St., Bacolod City",2024-01-29,Preparing,Index Divider Tabs 5pcs,2,1340.00
OR2024-031314,Sophia Navarro,"14 Lacson St., Bacolod City",2024-01-29,Preparing,Printer Paper A3 500 sheets,1,1340.00
OR2024-031314,Sophia Navarro,"14 Lacson St., Bacolod City",2024-01-29,Preparing,Spiral Coil Bind 10mm,2,1340.00
OR2024-031315,Ana Villanueva,"12 Burgos St., Cebu City",2024-10-29,Received,Construction Paper Assorted,1,65.00
OR2024-031315,Ana Villanueva,"12 Burgos St., Cebu City",2024-10-29,Received,Sticky Flags 75mm,2,65.00
OR2024-031317,Sophia Navarro,"14 Lacson St., Bacolod City",2024-03-01,Received,File Pocket PVC A4,2,2430.00
OR2024-031317,Sophia Navarro,"14 Lacson St., Bacolod City",2024-03-01,Received,Binder 2-inch D-Ring,3,2430.00
OR2024-031317,Sophia Navarro,"14 Lacson St., Bacolod City",2024-03-01,Received,Glue Stick Large 40g,2,2430.00
OR2024-031317,Sophia Navarro,"14 Lacson St., Bacolod City",2024-03-01,Received,Laser Toner Cartridge 85A,2,2430.00
OR2024-031319,Sophia Navarro,"14 Lacson St., Bacolod City",2024-09-12,Received,Binder 2-inch D-Ring,3,450.00
OR2024-031320,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-05-30,Received,Glue Stick 20g,2,220.00
OR2024-031320,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-05-30,Received,Desk Pen Holder,2,220.00
OR2024-031323,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-07-15,Received,Cork Board 2x3ft,2,1625.00
OR2024-031323,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-07-15,Received,HP 684 Tri-Color Ink,2,1625.00
OR2024-031323,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-07-15,Received,Floor Wax Red,3,1625.00
OR2024-031325,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-12-11,Received,Whiteboard Sheet Roll,3,1925.00
OR2024-031325,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-12-11,Received,Chart Paper Roll 50m,1,1925.00
OR2024-031325,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-12-11,Received,Sticky Notes 50x50mm,3,1925.00
OR2024-031325,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-12-11,Received,Eraser Large,3,1925.00
OR2024-031327,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-10-17,Preparing,Printer Paper A3 500 sheets,3,2550.00
OR2024-031327,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-10-17,Preparing,Laminating Film A4,1,2550.00
OR2024-031327,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-10-17,Preparing,Power Bank 10000mAh,1,2550.00
OR2024-031327,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-10-17,Preparing,Stapler Standard,3,2550.00
OR2024-031329,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-08-16,Received,Adhesive Bandages 100pcs,2,380.00
OR2024-031329,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-08-16,Received,Glue Stick 20g,1,380.00
OR2024-031330,Ana Villanueva,"12 Burgos St., Cebu City",2024-04-18,Received,Ballpoint Pen Blue 10pcs,2,1130.00
OR2024-031330,Ana Villanueva,"12 Burgos St., Cebu City",2024-04-18,Received,Desk Organizer Tray,3,1130.00
OR2024-031330,Ana Villanueva,"12 Burgos St., Cebu City",2024-04-18,Received,HP 684 Tri-Color Ink,1,1130.00
OR2024-031330,Ana Villanueva,"12 Burgos St., Cebu City",2024-04-18,Received,Laminating Film A4,1,1130.00
OR2024-031333,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-04-21,Cancelled,Laser Toner Cartridge 85A,1,950.00
OR2024-031334,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-02-22,Received,Graph Paper Pad A4 50 sheets,1,100.00
OR2024-031335,Daniel Cruz,"3 Session Rd., Baguio City",2024-11-23,Preparing,PVC Binding Cover A4,1,400.00
OR2024-031335,Daniel Cruz,"3 Session Rd., Baguio City",2024-11-23,Preparing,Whiteboard Eraser,3,400.00
OR2024-031336,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-02-18,Preparing,Webcam 1080p,3,6195.00
OR2024-031336,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-02-18,Preparing,Staples 1000pcs,3,6195.00
OR2024-031336,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-02-18,Preparing,Floor Lamp LED,3,6195.00
OR2024-031337,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-04-23,Received,Mousepad Extended,2,400.00
OR2024-031340,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-04-26,Preparing,Glue Stick Large 40g,1,40.00
OR2024-031340,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-04-26,Preparing,File Pocket PVC A4,1,40.00
OR2024-031344,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-12-27,Preparing,Mop Bucket with Wringer,3,5145.00
OR2024-031344,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-12-27,Preparing,Cotton Balls 100pcs,3,5145.00
OR2024-031344,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-12-27,Preparing,Compass and Protractor Set,3,5145.00
OR2024-031344,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-12-27,Preparing,HP 684 Tri-Color Ink,1,5145.00
OR2024-031345,Sophia Navarro,"14 Lacson St., Bacolod City",2024-09-09,Cancelled,Oil Pastels 36pcs,3,880.00
OR2024-031345,Sophia Navarro,"14 Lacson St., Bacolod City",2024-09-09,Cancelled,Glass Cleaner Spray,2,880.00
OR2024-031346,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-03-20,Preparing,Glue Stick 20g,2,490.00
OR2024-031346,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-03-20,Preparing,Paper Clips 50pcs,3,490.00
OR2024-031346,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-03-20,Preparing,Alcohol 70% 1 Liter,3,490.00
OR2024-031349,Maria Santos,"45 Mabini Ave., Makati City",2024-01-25,Received,Glue Stick Large 40g,2,50.00
OR2024-031350,Daniel Cruz,"3 Session Rd., Baguio City",2024-06-04,Received,Laptop Stand Aluminum,1,1410.00
OR2024-031350,Daniel Cruz,"3 Session Rd., Baguio City",2024-06-04,Received,Desktop Organizer Wood,2,1410.00
OR2024-031350,Daniel Cruz,"3 Session Rd., Baguio City",2024-06-04,Received,Highlighter Assorted Colors 12pcs,2,1410.00
OR2024-031351,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-09-03,Received,Oil Pastels 36pcs,3,680.00
OR2024-031351,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-09-03,Received,Glue Stick 20g,1,680.00
OR2024-031354,Daniel Cruz,"3 Session Rd., Baguio City",2024-01-16,Preparing,Thumb Tacks 100pcs,3,1195.00
OR2024-031354,Daniel Cruz,"3 Session Rd., Baguio City",2024-01-16,Preparing,Compass and Protractor Set,3,1195.00
OR2024-031354,Daniel Cruz,"3 Session Rd., Baguio City",2024-01-16,Preparing,Laptop Stand Aluminum,2,1195.00
OR2024-031355,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-04-06,Received,Soft Broom (Tambo),3,1600.00
OR2024-031355,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-04-06,Received,Desk Pen Holder,2,1600.00
OR2024-031355,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-04-06,Received,Webcam 1080p,1,1600.00
OR2024-031355,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-04-06,Received,Waste Basket Mesh,1,1600.00
OR2024-031357,Daniel Cruz,"3 Session Rd., Baguio City",2024-11-25,Received,Sticky Notes 75x75mm,1,2975.00
OR2024-031357,Daniel Cruz,"3 Session Rd., Baguio City",2024-11-25,Received,Laser Toner Cartridge 85A,3,2975.00
OR2024-031357,Daniel Cruz,"3 Session Rd., Baguio City",2024-11-25,Received,Face Mask 50pcs,2,2975.00
OR2024-031358,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-08-06,To Ship,Sticky Flags 25mm,3,24.00
OR2024-031359,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-03-23,Preparing,Printer Paper A3 500 sheets,1,1370.00
OR2024-031359,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-03-23,Preparing,Sticky Flags 75mm,2,1370.00
OR2024-031359,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-03-23,Preparing,Mousepad Extended,1,1370.00
OR2024-031359,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-03-23,Preparing,Laptop Stand Aluminum,2,1370.00
OR2024-031360,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-09-21,Received,VGA to HDMI Adapter,2,500.00
OR2024-031361,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-12-23,Received,Eraser Large,2,60.00
OR2024-031361,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-12-23,Received,Eraser Large,2,60.00
OR2024-031361,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-12-23,Received,Paper Clips 50pcs,2,60.00
OR2024-031362,Mark Tolentino,"56 Ortigas Center, Pasig City",2024-09-05,Received,Ballpoint Pen Blue 10pcs,1,100.00
OR2024-031367,Daniel Cruz,"3 Session Rd., Baguio City",2024-06-10,To Ship,Binder 2-inch D-Ring,3,485.00
OR2024-031367,Daniel Cruz,"3 Session Rd., Baguio City",2024-06-10,To Ship,Paper Clips 50pcs,1,485.00
OR2024-031367,Daniel Cruz,"3 Session Rd., Baguio City",2024-06-10,To Ship,Glue Stick Large 40g,1,485.00
OR2024-031368,Sophia Navarro,"14 Lacson St., Bacolod City",2024-03-01,Received,HP 680 Black Ink Cartridge,1,120.00
OR2024-031372,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-11-20,To Ship,Webcam 1080p,1,1870.00
OR2024-031372,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-11-20,To Ship,Chart Paper Roll 50m,2,1870.00
OR2024-031372,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-11-20,To Ship,HP 680 Black Ink Cartridge,1,1870.00
OR2024-031372,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-11-20,To Ship,Graph Paper Pad A4 50 sheets,2,1870.00
OR2024-031373,Juan Dela Cruz,"123 Rizal St., Quezon City",2024-01-26,Received,VGA to HDMI Adapter,3,750.00
OR2024-031374,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-10-21,Received,Webcam 1080p,3,2970.00
OR2024-031374,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-10-21,Received,Soft Broom (Tambo),1,2970.00
OR2024-031374,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-10-21,Received,Desk Pen Holder,3,2970.00
OR2024-031376,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-28,Received,Thumb Tacks 100pcs,2,275.00
OR2024-031376,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-28,Received,Mousepad Extended,1,275.00
OR2024-031376,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-11-28,Received,Staples 1000pcs,3,275.00
OR2024-031378,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-09-06,Preparing,Thumb Tacks 100pcs,2,4525.00
OR2024-031378,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-09-06,Preparing,Floor Lamp LED,3,4525.00
OR2024-031378,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-09-06,Preparing,First Aid Kit Box,1,4525.00
OR2024-031378,Pedro Reyes,"78 Bonifacio Rd., Pasig City",2024-09-06,Preparing,Sticky Notes 50x50mm,3,4525.00
OR2024-031379,Ana Villanueva,"12 Burgos St., Cebu City",2024-07-13,Received,Spiral Coil Bind 10mm,2,965.00
OR2024-031379,Ana Villanueva,"12 Burgos St., Cebu City",2024-07-13,Received,Sticky Notes 75x75mm,1,965.00
OR2024-031379,Ana Villanueva,"12 Burgos St., Cebu City",2024-07-13,Received,Highlighter Assorted Colors 12pcs,3,965.00
OR2024-031381,Liza Fernandez,"8 Katipunan Ave., Quezon City",2024-07-23,Preparing,HP 684 Tri-Color Ink,3,360.00
OR2024-031382,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-06-27,Received,Alcohol 70% 1 Liter,3,850.00
OR2024-031382,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-06-27,Received,Laptop Stand Aluminum,1,850.00
OR2024-031382,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-06-27,Received,Thumb Tacks 100pcs,2,850.00
OR2024-031382,Carlos Mendoza,"99 Del Pilar St., Davao City",2024-06-27,Received,Sticky Notes 75x75mm,2,850.00
OR2024-031383,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-11-05,Preparing,Trash Bag Black Large,3,385.00
OR2024-031383,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-11-05,Preparing,Glue Stick 20g,2,385.00
OR2024-031383,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-11-05,Preparing,Compass and Protractor Set,1,385.00
OR2024-031385,Ana Villanueva,"12 Burgos St., Cebu City",2024-09-10,To Ship,HP 680 Black Ink Cartridge,1,470.00
OR2024-031385,Ana Villanueva,"12 Burgos St., Cebu City",2024-09-10,To Ship,Spiral Coil Bind 10mm,1,470.00
OR2024-031387,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-05-10,Received,Trash Bag Black Large,3,460.00
OR2024-031387,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-05-10,Received,Trash Bag Black Large,2,460.00
OR2024-031387,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-05-10,Received,Construction Paper Assorted,3,460.00
OR2024-031388,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-04-03,Received,Staples 1000pcs,2,30.00
OR2024-031389,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-11-23,Cancelled,Desktop Organizer Wood,3,3700.00
OR2024-031389,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-11-23,Cancelled,Laptop Stand Aluminum,2,3700.00
OR2024-031389,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-11-23,Cancelled,Desktop Organizer Wood,3,3700.00
OR2024-031389,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-11-23,Cancelled,Compass and Protractor Set,2,3700.00
OR2024-031391,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-01-06,To Ship,Trash Bag Black Large,2,130.00
OR2024-031397,Sophia Navarro,"14 Lacson St., Bacolod City",2024-08-13,Received,Laminating Film A4,1,8700.00
OR2024-031397,Sophia Navarro,"14 Lacson St., Bacolod City",2024-08-13,Received,Soft Broom (Tambo),1,8700.00
OR2024-031397,Sophia Navarro,"14 Lacson St., Bacolod City",2024-08-13,Received,Mousepad Extended,3,8700.00
OR2024-031397,Sophia Navarro,"14 Lacson St., Bacolod City",2024-08-13,Received,Office Chair Mid-Back,3,8700.00
OR2024-031398,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-05-28,Preparing,Glue Stick Large 40g,3,475.00
OR2024-031398,Isabella Ramos,"21 Gov. Cuenco Ave., Cebu City",2024-05-28,Preparing,Laptop Stand Aluminum,1,475.00
